1x,,,,,,,
,Sn, Sp,Acc, MCC, Pre, Recall, F-score
CTDD,0.984,0.984,0.984,0.968093457,0.984,0.984110976,0.984007732
AAC_count,0.9975,0.9555,0.9765,0.953957644,0.9975,0.957494243,0.977029867
PAAC,0.9935,0.954,0.97375,0.948362824,0.9935,0.955933774,0.974294638
AAC+DPC,1,0.997,0.9985,0.997012388,1,0.997024777,0.998506222
AAC+TPC,1,0.997,0.9985,0.997014814,1,0.99702963,0.998507453
CTD,0.954,0.9735,0.96375,0.927925409,0.954,0.973219667,0.963378799
EAAC(k=7),0.971,0.9255,0.94825,0.897717263,0.971,0.929179301,0.949484189
EAAC(k=5),0.9735,0.938,0.95575,0.912365869,0.9735,0.940540614,0.956591186
EAAC(k=6),0.971,0.9345,0.95275,0.906392549,0.971,0.937257065,0.9536842
EAAC(k=8),0.9705,0.9215,0.946,0.893487953,0.9705,0.925785021,0.947408861
EAAC(k=9),0.972,0.916,0.944,0.889777626,0.972,0.921046203,0.945647518
EAAC(k=10),0.977,0.9125,0.94475,0.891695487,0.977,0.918334553,0.946590902
p_EAAC(k=7),0.995,0.9765,0.98575,0.971730316,0.995,0.977026934,0.985899755
p_EAAC(k=5),0.9955,0.9775,0.9865,0.973278917,0.9955,0.978090947,0.986658454
p_EAAC(k=6),0.9975,0.975,0.98625,0.972819434,0.9975,0.975677228,0.986431397
p_EAAC(k=8),0.993,0.973,0.983,0.966259663,0.993,0.973621317,0.983182403
p_EAAC(k=9),0.992,0.9625,0.97725,0.955029166,0.992,0.963746225,0.977613169
p_EAAC(k=10),0.9945,0.938,0.96625,0.934146029,0.9945,0.941581472,0.967241361
EGAAC(k=5),0.78,0.936,0.858,0.725540205,0.78,0.924574067,0.845556776
GDPC,0.9655,0.984,0.97475,0.949737215,0.9655,0.983696893,0.974471344
GTPC,0.9995,0.997,0.99825,0.996518521,0.9995,0.997034556,0.998258068
TPC,1,0.995,0.9975,0.995024715,1,0.995049432,0.997512429
GAAC,0.782,0.8455,0.81375,0.629113937,0.782,0.835027414,0.80736639
